,log_standard_value,Y_pred,bioactivity_class_real,bioactivity_class_pred
0,6.1249387366083,5.758574188634438,inactive,intermediate
3,6.522878745280337,5.925111125385538,inactive,intermediate
61,6.154901959985743,5.914298852789362,inactive,intermediate
79,4.958607314841775,5.147298595342619,active,intermediate
81,6.187086643357144,5.732796789766399,inactive,intermediate
82,6.031517051446065,5.970116765818302,inactive,intermediate
86,7.522878745280337,5.87561586870539,inactive,intermediate
94,5.031517051446065,4.940477045277753,intermediate,active
113,4.940058111938045,5.06216853916307,active,intermediate
114,5.167491087293763,4.951979639635163,intermediate,active
117,6.170053304058364,5.6823046629375344,inactive,intermediate
134,4.708187312532881,5.204635205694796,active,intermediate
154,5.0,5.30431677851588,active,intermediate
184,5.455931955649724,6.641983764221376,intermediate,inactive
186,5.826813731587726,6.896660422954664,intermediate,inactive
191,5.958607314841775,6.579841581606725,intermediate,inactive
218,5.0,5.0624830712738165,active,intermediate
220,5.0,5.020457574905607,active,intermediate
222,5.0,5.42110344012888,active,intermediate
225,5.0,5.147773837033108,active,intermediate
227,5.0,5.007429031214093,active,intermediate
231,5.0,5.01,active,intermediate
232,6.0,5.719034221704021,inactive,intermediate
234,5.0,5.01869666231505,active,intermediate
235,5.0,5.2327934097274404,active,intermediate
238,5.0,5.043828326102041,active,intermediate
241,5.0,5.046579797972286,active,intermediate
245,5.0,5.050302983542542,active,intermediate
246,5.0,5.054619999991643,active,intermediate
248,5.0,5.0290545899854315,active,intermediate
249,5.0,5.055647522974616,active,intermediate
251,5.0,5.097381750483102,active,intermediate
252,6.0,5.687431282727085,inactive,intermediate
253,5.0,5.003779338185403,active,intermediate
254,5.0,5.2513420090145795,active,intermediate
256,5.0,5.00516678519237,active,intermediate
289,4.958607314841775,5.0276866460129614,active,intermediate
291,5.0,5.157605842373318,active,intermediate
313,5.823908740944319,6.032277223760523,intermediate,inactive
333,5.0,5.551843763543854,active,intermediate
338,5.886056647693163,6.208979066055208,intermediate,inactive
359,5.7447274948966935,6.040248080710519,intermediate,inactive
363,5.769551078621726,6.061395277605849,intermediate,inactive
385,6.610302451793614,5.810752725573852,inactive,intermediate
387,4.949891037082132,5.810752725573852,active,intermediate
388,5.545536267248862,6.208929490049111,intermediate,inactive
404,5.658862361259036,6.5131641479288795,intermediate,inactive
408,5.247605791594637,6.301105879262752,intermediate,inactive
421,4.790000026071145,5.5112773091281735,active,intermediate
